participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
9,01,0,1.217,415.00,360.00,1,1,1
9,01,0,2.034,469.00,272.00,1,1,1
9,01,0,2.618,607.00,328.00,1,1,1
9,01,0,3.343,820.00,179.00,1,0,0
9,01,0,3.776,799.00,210.00,1,0,0
9,01,0,4.385,802.00,194.00,1,1,1
9,01,0,5.443,535.00,767.00,3,1,3
9,01,0,6.485,797.00,1037.00,3,1,3
9,01,0,7.235,1361.00,441.00,2,1,2
9,01,0,8.394,1681.00,708.00,4,1,4
9,01,1,1.400,203.00,182.00,1,1,1
9,01,1,2.417,134.00,74.00,1,1,1
9,01,1,3.301,384.00,24.00,1,1,1
9,01,1,4.242,518.00,99.00,1,1,1
9,01,1,4.759,471.00,145.00,1,1,1
9,01,1,5.251,472.00,209.00,1,1,1
9,01,1,5.759,437.00,246.00,1,1,1
9,01,1,6.693,333.00,259.00,1,1,1
9,01,1,7.193,266.00,329.00,1,1,1
9,01,1,7.768,214.00,372.00,1,1,1
9,01,1,8.493,373.00,399.00,1,1,1
9,01,1,9.126,368.00,473.00,1,1,1
9,01,1,9.477,327.00,532.00,1,1,1
9,01,1,10.435,235.00,578.00,3,1,3
9,01,1,11.035,198.00,596.00,3,1,3
9,01,1,11.927,490.00,501.00,1,1,1
9,01,1,12.510,574.00,513.00,1,1,1
9,01,1,13.127,587.00,586.00,3,1,3
9,01,1,13.877,457.00,583.00,3,1,3
9,01,1,14.452,483.00,645.00,3,1,3
9,01,1,14.961,536.00,687.00,3,1,3
9,01,1,15.344,549.00,624.00,3,1,3
9,01,1,16.077,643.00,756.00,3,1,3
9,01,1,16.478,694.00,699.00,3,1,3
9,01,1,17.244,723.00,583.00,3,1,3
9,01,1,17.961,694.00,557.00,3,1,3
9,01,1,18.970,839.00,671.00,3,1,3
9,01,1,19.403,849.00,594.00,3,1,3
9,01,1,19.878,894.00,554.00,3,1,3
9,01,1,20.520,989.00,484.00,2,1,2
9,01,1,21.395,834.00,426.00,1,1,1
9,01,1,22.012,822.00,350.00,1,1,1
9,01,1,22.420,802.00,317.00,1,1,1
9,01,1,22.862,808.00,192.00,1,1,1
9,01,1,23.229,814.00,117.00,1,1,1
9,01,1,24.662,902.00,189.00,1,1,1
9,01,1,25.246,956.00,266.00,1,1,1
9,01,1,26.354,1046.00,187.00,2,1,2
9,01,1,27.046,1089.00,266.00,2,1,2
9,01,1,27.654,1071.00,366.00,2,1,2
9,01,1,28.755,1168.00,369.00,2,1,2
9,01,2,0.803,835.00,432.00,1,1,1
9,01,2,1.153,919.00,358.00,1,0,0
9,01,2,1.511,919.00,324.00,1,1,1
9,01,2,1.828,937.00,269.00,1,1,1
9,01,2,2.712,1074.00,386.00,2,1,2
9,01,2,3.553,1182.00,419.00,2,1,2
9,01,2,4.003,1234.00,437.00,2,1,2
9,01,2,4.437,1282.00,430.00,2,1,2
9,01,2,5.020,1333.00,475.00,2,1,2
9,01,2,5.446,1396.00,489.00,2,1,2
9,01,2,5.945,1465.00,470.00,2,1,2
9,01,2,6.787,1394.00,397.00,2,1,2
9,01,2,7.746,1367.00,222.00,2,1,2
9,01,2,8.254,1419.00,208.00,2,1,2
9,01,2,8.879,1422.00,188.00,2,1,2
9,01,2,9.771,1473.00,224.00,2,1,2
9,01,2,10.338,1545.00,261.00,2,0,0
9,01,2,11.146,1518.00,249.00,2,1,2
9,01,2,11.830,1462.00,278.00,2,1,2
9,01,2,13.064,1582.00,308.00,2,1,2
9,01,2,13.622,1551.00,366.00,2,1,2
9,01,2,14.230,1666.00,428.00,2,1,2
9,01,2,15.114,1485.00,608.00,4,0,0
9,01,2,15.589,1478.00,559.00,4,1,4
9,01,2,16.122,1502.00,600.00,4,1,4
9,01,2,16.931,1385.00,718.00,4,1,4
9,01,2,17.514,1267.00,719.00,4,1,4
9,01,2,18.131,1272.00,809.00,4,1,4
9,01,2,18.573,1263.00,853.00,4,1,4
9,01,2,19.223,1154.00,832.00,4,1,4
9,01,2,19.856,1212.00,915.00,4,1,4
9,01,2,20.614,1191.00,972.00,4,1,4
9,01,2,20.998,1228.00,981.00,4,1,4
9,01,2,21.765,1329.00,991.00,4,0,0
9,01,2,22.515,1315.00,1003.00,4,1,4
9,01,2,23.065,1287.00,944.00,4,1,4
9,01,2,23.657,1332.00,810.00,4,1,4
9,01,2,24.407,1021.00,738.00,4,1,4
9,01,2,24.940,1012.00,634.00,4,1,4
9,01,2,25.532,1067.00,573.00,4,1,4
9,01,2,26.449,1100.00,567.00,4,1,4
9,01,2,27.624,906.00,559.00,3,1,3
9,01,2,28.582,856.00,644.00,3,1,3
9,01,2,29.049,906.00,637.00,3,1,3
9,01,2,29.499,934.00,689.00,3,1,3
9,01,3,0.995,100.00,70.00,1,0,0
9,01,3,1.504,173.00,47.00,1,1,1
9,01,3,1.962,175.00,108.00,1,1,1
9,01,3,2.796,279.00,42.00,1,1,1
9,01,3,3.587,258.00,161.00,1,1,1
9,01,3,4.146,292.00,197.00,1,1,1
9,01,3,4.671,271.00,291.00,1,1,1
9,01,3,5.404,116.00,275.00,1,1,1
9,01,3,5.854,73.00,209.00,1,0,0
9,01,3,6.288,72.00,198.00,1,1,1
9,01,3,6.905,125.00,311.00,1,1,1
9,01,3,7.580,109.00,450.00,1,1,1
